gene	display_name	functional_category	notes
stx278	stx278	Toxins	Shiga-like toxin stx278
stx279	stx279	Toxins	Shiga-like toxin stx279
stx28	stx28	Toxins	Shiga-like toxin stx28
stx280	stx280	Toxins	Shiga-like toxin stx280
stx281	stx281	Toxins	Shiga-like toxin stx281
stx282	stx282	Toxins	Shiga-like toxin stx282
stx283	stx283	Toxins	Shiga-like toxin stx283
stx284	stx284	Toxins	Shiga-like toxin stx284
stx285	stx285	Toxins	Shiga-like toxin stx285
stx286	stx286	Toxins	Shiga-like toxin stx286
stx287	stx287	Toxins	Shiga-like toxin stx287
stx288	stx288	Toxins	Shiga-like toxin stx288
stx289	stx289	Toxins	Shiga-like toxin stx289
stx29	stx29	Toxins	Shiga-like toxin stx29
stx290	stx290	Toxins	Shiga-like toxin stx290
stx291	stx291	Toxins	Shiga-like toxin stx291
stx292	stx292	Toxins	Shiga-like toxin stx292
stx293	stx293	Toxins	Shiga-like toxin stx293
stx294	stx294	Toxins	Shiga-like toxin stx294
stx295	stx295	Toxins	Shiga-like toxin stx295
stx296	stx296	Toxins	Shiga-like toxin stx296
stx297	stx297	Toxins	Shiga-like toxin stx297
stx298	stx298	Toxins	Shiga-like toxin stx298
stx299	stx299	Toxins	Shiga-like toxin stx299
stx2e-O100-TS01-07	stx2e	Toxins	Shiga-like toxin 2e
stx2e-O101-CB10394	stx2e	Toxins	Shiga-like toxin 2e
stx2e-O101-E-D42	stx2e	Toxins	Shiga-like toxin 2e
stx2e-O101-E-D43	stx2e	Toxins	Shiga-like toxin 2e
stx2e-O101-E-D53	stx2e	Toxins	Shiga-like toxin 2e
stx2e-O101-E-D68	stx2e	Toxins	Shiga-like toxin 2e
stx2e-O121-NP9621	stx2e	Toxins	Shiga-like toxin 2e
stx2e-O138-NN	stx2e	Toxins	Shiga-like toxin 2e
stx2e-O139-S1191	stx2e	Toxins	Shiga-like toxin 2e
stx2e-O22-3615-99	stx2e	Toxins	Shiga-like toxin 2e
stx2e-O26-R107	stx2e	Toxins	Shiga-like toxin 2e
stx2e-O8-1509W52833	stx2e	Toxins	Shiga-like toxin 2e
stx2e-O89-1810F65304	stx2e	Toxins	Shiga-like toxin 2e
stx2e-O9-1706T56070	stx2e	Toxins	Shiga-like toxin 2e
stx2e-ONT-26725-97	stx2e	Toxins	Shiga-like toxin 2e
stx2e-ONT-2771	stx2e	Toxins	Shiga-like toxin 2e
stx2e-ONT-TS03-08	stx2e	Toxins	Shiga-like toxin 2e
stx2e-ONT-TS29-08	stx2e	Toxins	Shiga-like toxin 2e
stx2e-OR-TS09-07	stx2e	Toxins	Shiga-like toxin 2e
subA	subA	Toxins	Subtilase toxin subunit
tccP	tccP	Adhesion/Colonization	Tir-cytoskeleton coupling protein
tcpC	tcpC	Adhesion/Colonization	Tir domain-containing protein
terC	terC	Protectins/Resistance to body defenses	Tellurium ion resistance protein
tia	tia	Invasion	Tia Invasion determinant
tibA	tibA	Invasion	TibA Adhesin/invasin (Glycoprotein)
tibC	tibC	Invasion	Glycosyltransferase
tir	tir	Invasion	Translocated intimin receptor protein
tir-Cr	tir-Cr	Invasion	"Translocated intimin receptor protein, C. rodentium"
tleA	tleA	Adhesion/Colonization	tsh-like ETEC autotransporter
toxB	toxB	Toxins	Cytotoxin B
tpx	tpx		
traT	traT	Protectins/Resistance to body defenses	Outer membrane protein complement resistance
tsh	tsh	Adhesion/Colonization	Temperature-sensitive hemagglutinin
tsst	tsst	Toxins	Toxic shock syndrome toxin-1
tst	tst	Toxins	Toxic shock syndrome toxin-1
usp	usp	Protectins/Resistance to body defenses	Uropathogenic specific protein
vat	vat	Toxins	Vacuolating autotransporter toxin
vat-EXPEC	vat	Toxins	Vacuolating autotransporter toxin
virF	virF		VirF transcriptional activator
vwb	vwb	Adhesion/Colonization	von Willebrand factor-binding protein
yehD	yehD	Adhesion/Colonization	Major pilin subunit YHD
yfcV	yfcV	Adhesion/Colonization	Fimbrial protein
